fercID,utility,year,rateName,MWh,revenue,num_cstmr,KWhper_cust,avg_price,CARE_rate,remove,,,
133,PGE,2013,UNCLASSIFIED,74,0,0,0,0,0,1,,,
133,PGE,2014,E1 INDIVIDUALLY METERED,20284470,3727048304,3375704,6009,0.1837,0,0,,,
133,PGE,2014,E6 RESIDENTIAL TIME-OF-USE SERVIC,191581,31840202,39406,4862,0.1662,0,0,,,
133,PGE,2014,E7 TIME-OF-USE,548896,94767299,60258,9109,0.1727,0,0,,,
133,PGE,2014,E8 SEASONAL SERVICE OPTION,572119,118716877,40781,14029,0.2075,0,0,,,
133,PGE,2014,EA9 EXPERIMENTAL TOU SERVICE FOR,33155,5399120,4000,8289,0.1628,0,0,,,
133,PGE,2014,EB9 EXPERIMENTAL TOU SERVICE FOR,647,66750,210,3081,0.1032,0,0,,,
133,PGE,2014,EM MASTER-METERED MULTI-FAMILY SE,241526,41493736,17211,14033,0.1718,0,0,,,
133,PGE,2014,EMTOU RESIDENTIAL TIME OF USE SER,719,88998,37,19432,0.1238,0,0,,,
133,PGE,2014,ES MULTI-FAMILY SERVICE,28468,3810676,290,98166,0.1339,0,0,,,
133,PGE,2014,ESR RV PARK AND RESIDENTIAL MARIN,1677,230778,26,64500,0.1376,0,0,,,
133,PGE,2014,ESRL RV PARK AND RESIDENTIAL MARI,7090,827227,76,93289,0.1167,0,0,,,
133,PGE,2014,ET MOBILEHOME PARK SERVICE,16627,2104724,268,62041,0.1266,0,0,,,
133,PGE,2014,EVA RESIDENTIAL TOU SERVICE FOR P,102891,16956877,7067,14559,0.1648,0,0,,,
133,PGE,2014,EVB RESIDENTIAL TOU SERVICE FOR P,273,34918,52,5250,0.1279,0,0,,,
133,PGE,2014,SEM1 STANDBY - MASTER-METERED MUL,2983,422573,10,298300,0.1417,0,0,,,
133,PGE,2014,EL1    RESIDENTIAL CARE PROGRAM S,7209260,675840640,1118472,6446,0.0937,1,0,,,
133,PGE,2014,EL6    RESIDENTIAL CARE TIME-OF-U,10212,966028,1566,6521,0.0946,1,0,,,
133,PGE,2014,EL7    RESIDENTIAL CARE PROGRAM T,50796,5040177,5265,9648,0.0992,1,0,,,
133,PGE,2014,EL8    RESIDENTIAL SEASONAL CARE,83391,8041011,5968,13973,0.0964,1,0,,,
133,PGE,2014,EML MULTIFAMILY CARE PROGRAM - MA,25231,2083652,172,146692,0.0826,1,0,,,
133,PGE,2014,ESL MULTIFAMILY CARE PROGRAM SERV,29582,3407358,301,98279,0.1152,1,0,,,
133,PGE,2014,ETL LOW-INCOME MOBILE HOME,393654,44793356,2023,194589,0.1138,1,0,,,
133,PGE,2014,ECLSD,0,1820,0,0,0,0,1,,,
133,PGE,2014,MIS-RS,0,-30263,0,0,0,0,1,,,
133,PGE,2014,SE1 STANDBY - INDIVIDUALLY METERE,1,-4074,1,1000,-4.074,0,1,,,
133,PGE,2014,STOUS INDV STANDBY - TOU SECONDAR,0,25197,12,0,0,0,1,,,
133,PGE,2014,UNCLASSIFIED,65,0,0,0,0,0,1,,,
133,PGE,2015,E1 INDIVIDUALLY METERED,19633621,3811638284,3371131,5824,0.1941,0,0,,,
133,PGE,2015,E6 RESIDENTIAL TIME-OF-USE SERVIC,248213,43155967,56382,4402,0.1739,0,0,,,
133,PGE,2015,E7 TIME-OF-USE,501832,87743885,57765,8687,0.1748,0,0,,,
